samfox,password,Sam,Fox,Senior,Umass,4.0,General Computer Science
yongliang,password,Yong,Liang,Junior,Umass,4.0,Artificial Intellignce
alexrevello,password,Alex,Revello,Sophomore,Umass, 4.0,Security & Privacy
joshbearor,password,Josh,Bearor,Freshman,Umass,4.0,Search & Data Mining
drewmarchetti,password,Drew,Marchetti,Senior,Umass Amherst,4.0,Artificial Intelligence
khanhnguyen,password,Khanh,Nguyen,Freshman,Umass,4.0,General Computer Science
taustin,password,Timothy,Austin,Sophomore,Umass,3.51,Software Engineering
rmay,password,Rebecca,May,Junior,Umass,2.98,Security & Privacy
gwilkerson,password,Geoffrey,Wilkerson,Sophomore,Umass,3.23,Artificial Intelligence
aporter,password,Albert,Porter,Sophomore,Umass,3.81,Networking
arowe,password,Amelia,Rowe,Junior,Umass,2.31,Software Engineering
jsutton,password,Judy,Sutton,Senior,Umass,2.99,Computer Architecture
cvarags,password,Cristina,Vargas,Freshman,Umass,3.11,Programming Languages & Compilers
ephillips,password,Edward,Phillips,Senior,Umass,3.64,Search & Data Mining
dgill,password,Darrel Gill,Gill,Sophomore,Umass,2.53,Computer Architecture
fcunning,password,Frances,Cunningham,Junior,Umass,3.91,Software Engineering
mtucker,password,Madeline,Tucker,Senior,Umass,2.89,Search & Data Mining
halvarez,password,Horace,Alvarez,Sophomore,Umass,2.98,Security & Privacy
wnewton,password,Wallace,Newton,Junior,Umass,3.55,Security & Privacy
tray,password,Tracey,Ray,Junior,Umass,2.11,Programming Languages & Compilers
sanderson,password,Shirley,Anderson,Freshman,Umass,3.99,Computer Architecture
tferguson,password,Traci,Ferguson,Sophomore,Umass,3.21,Software Engineering
tpittman,password,Trevor,Pittman,Senior,Umass,3.01,Artificial Intelligence
bstevens,password,Brenda,Stevens,Sophomore,Umass,2.59,Search & Data Mining
kgarza,password,Kristopher,Garza,Junior,Umass,2.88,Security & Privacy
tmills,password,Theresa,Mills,Junior,Umass,2.91,Software Engineering
